Query Results (2340 answers): 
person                  | name                     
===================================================
GraduateStudent12       | "GraduateStudent12"      
UndergraduateStudent461 | "UndergraduateStudent461"
UndergraduateStudent528 | "UndergraduateStudent528"
UndergraduateStudent322 | "UndergraduateStudent322"
GraduateStudent37       | "GraduateStudent37"      
UndergraduateStudent194 | "UndergraduateStudent194"
GraduateStudent133      | "GraduateStudent133"     
UndergraduateStudent188 | "UndergraduateStudent188"
GraduateStudent2        | "GraduateStudent2"       
UndergraduateStudent76  | "UndergraduateStudent76" 
GraduateStudent29       | "GraduateStudent29"      
UndergraduateStudent336 | "UndergraduateStudent336"
UndergraduateStudent367 | "UndergraduateStudent367"
UndergraduateStudent290 | "UndergraduateStudent290"
UndergraduateStudent373 | "UndergraduateStudent373"
UndergraduateStudent210 | "UndergraduateStudent210"
UndergraduateStudent177 | "UndergraduateStudent177"
UndergraduateStudent7   | "UndergraduateStudent7"  
UndergraduateStudent287 | "UndergraduateStudent287"
GraduateStudent132      | "GraduateStudent132"     
UndergraduateStudent320 | "UndergraduateStudent320"
AssociateProfessor6     | "AssociateProfessor6"    
UndergraduateStudent135 | "UndergraduateStudent135"
UndergraduateStudent285 | "UndergraduateStudent285"
UndergraduateStudent46  | "UndergraduateStudent46" 
UndergraduateStudent254 | "UndergraduateStudent254"
UndergraduateStudent519 | "UndergraduateStudent519"
UndergraduateStudent405 | "UndergraduateStudent405"
UndergraduateStudent43  | "UndergraduateStudent43" 
UndergraduateStudent30  | "UndergraduateStudent30" 
FullProfessor3          | "FullProfessor3"         
UndergraduateStudent58  | "UndergraduateStudent58" 
GraduateStudent83       | "GraduateStudent83"      
UndergraduateStudent178 | "UndergraduateStudent178"
UndergraduateStudent443 | "UndergraduateStudent443"
GraduateStudent19       | "GraduateStudent19"      
GraduateStudent59       | "GraduateStudent59"      
GraduateStudent14       | "GraduateStudent14"      
UndergraduateStudent326 | "UndergraduateStudent326"
UndergraduateStudent249 | "UndergraduateStudent249"
UndergraduateStudent251 | "UndergraduateStudent251"
UndergraduateStudent525 | "UndergraduateStudent525"
UndergraduateStudent317 | "UndergraduateStudent317"
UndergraduateStudent217 | "UndergraduateStudent217"
UndergraduateStudent481 | "UndergraduateStudent481"
GraduateStudent142      | "GraduateStudent142"     
GraduateStudent45       | "GraduateStudent45"      
UndergraduateStudent133 | "UndergraduateStudent133"
UndergraduateStudent325 | "UndergraduateStudent325"
UndergraduateStudent496 | "UndergraduateStudent496"
GraduateStudent69       | "GraduateStudent69"      
AssociateProfessor3     | "AssociateProfessor3"    
UndergraduateStudent53  | "UndergraduateStudent53" 
UndergraduateStudent57  | "UndergraduateStudent57" 
UndergraduateStudent470 | "UndergraduateStudent470"
UndergraduateStudent97  | "UndergraduateStudent97" 
UndergraduateStudent379 | "UndergraduateStudent379"
UndergraduateStudent348 | "UndergraduateStudent348"
UndergraduateStudent136 | "UndergraduateStudent136"
UndergraduateStudent408 | "UndergraduateStudent408"
UndergraduateStudent132 | "UndergraduateStudent132"
UndergraduateStudent270 | "UndergraduateStudent270"
UndergraduateStudent237 | "UndergraduateStudent237"
UndergraduateStudent272 | "UndergraduateStudent272"
GraduateStudent18       | "GraduateStudent18"      
UndergraduateStudent124 | "UndergraduateStudent124"
UndergraduateStudent126 | "UndergraduateStudent126"
UndergraduateStudent173 | "UndergraduateStudent173"
